ItemID,Difficulty,Category,a_true,b_true
Q1,Easy,rules,1.5367,-2.1459
Q2,Easy,rules,2.1378,-1.9833
Q3,Easy,history,1.5842,-1.9454
Q4,Easy,basics,0.8,-1.7207
Q5,Easy,history,0.9811,-1.681
Q6,Easy,players,1.3319,-1.4744
Q7,Easy,rules,1.685,-1.239
Q8,Easy,format,1.0571,-1.0584
Q9,Easy,history,1.5729,-0.855
Q10,Easy,basics,0.9094,-0.8497
Q11,Medium,history,1.4582,-0.4496
Q12,Medium,history,1.2656,-0.2961
Q13,Medium,records,1.3336,-0.2914
Q14,Medium,history,1.0255,-0.08
Q15,Medium,history,0.9013,-0.0291
Q16,Medium,players,1.1506,0.1122
Q17,Medium,history,1.2376,0.2264
Q18,Medium,history,1.7136,0.2676
Q19,Medium,history,0.9842,0.3849
Q20,Medium,history,0.8,0.4792
Q21,Hard,history,1.0546,0.7301
Q22,Hard,records,1.9823,0.9104
Q23,Hard,players,0.9604,1.1216
Q24,Hard,records,1.2604,1.2731
Q25,Hard,records,0.9856,1.3355
Q26,Hard,history,1.5996,1.5626
Q27,Hard,history,1.0491,1.6896
Q28,Hard,history,0.8,1.8955
Q29,Hard,records,1.0782,1.9333
Q30,Hard,format,0.9154,2.1577
