ItemID,Difficulty,Category,a_true,b_true,p_correct,item_total_corr
Q1,Easy,rules,1.5367,-2.1459,0.924,0.3523231922161085
Q2,Easy,rules,2.1378,-1.9833,0.932,0.3869759297711474
Q3,Easy,history,1.5842,-1.9454,0.916,0.3427740292583372
Q4,Easy,basics,0.8,-1.7207,0.812,0.3239204672901264
Q5,Easy,history,0.9811,-1.681,0.8,0.40006482996069587
Q6,Easy,players,1.3319,-1.4744,0.842,0.4335786523243406
Q7,Easy,rules,1.685,-1.239,0.8,0.4959649695142782
Q8,Easy,format,1.0571,-1.0584,0.672,0.45647002729261554
Q9,Easy,history,1.5729,-0.855,0.726,0.5572729192920514
Q10,Easy,basics,0.9094,-0.8497,0.694,0.4128119544191809
Q11,Medium,history,1.4582,-0.4496,0.586,0.5952351646491929
Q12,Medium,history,1.2656,-0.2961,0.564,0.5452957624743991
Q13,Medium,records,1.3336,-0.2914,0.554,0.5749426690251593
Q14,Medium,history,1.0255,-0.08,0.534,0.46105654544836855
Q15,Medium,history,0.9013,-0.0291,0.502,0.4682924447979379
Q16,Medium,players,1.1506,0.1122,0.484,0.510220560866225
Q17,Medium,history,1.2376,0.2264,0.426,0.472838687271833
Q18,Medium,history,1.7136,0.2676,0.42,0.5836395324318296
Q19,Medium,history,0.9842,0.3849,0.418,0.46376463648209526
Q20,Medium,history,0.8,0.4792,0.414,0.4399588232985447
Q21,Hard,history,1.0546,0.7301,0.368,0.45854513857255447
Q22,Hard,records,1.9823,0.9104,0.25,0.5981700837941677
Q23,Hard,players,0.9604,1.1216,0.278,0.38515302890184766
Q24,Hard,records,1.2604,1.2731,0.238,0.46679266675141823
Q25,Hard,records,0.9856,1.3355,0.242,0.46847576768685684
Q26,Hard,history,1.5996,1.5626,0.16,0.4758421050441957
Q27,Hard,history,1.0491,1.6896,0.196,0.4208456109269522
Q28,Hard,history,0.8,1.8955,0.248,0.3680923544496183
Q29,Hard,records,1.0782,1.9333,0.134,0.37002275019690545
Q30,Hard,format,0.9154,2.1577,0.13,0.28247451826919284
